,http://183.237.246.14:9931/tsfile/live/1008_1.m3u8
CGTNNEWS,http://39.130.221.92:80/wh7f454c46tw2909890801_-371777930/hwvod.yn.chinamobile.com/PLTV/88888894/224/3221226109/index.m3u8
CGTNespsnol,http://219.145.19.212:5554/rtp/239.111.205.33:5140
CGTNfrancais,http://219.145.19.212:5554/rtp/239.111.205.34:5140
CGTN俄语,http://110.81.150.47:4022/rtp/239.61.3.45:9788
CGTN俄语,http://113.119.160.48:8081/hls/50/index.m3u8
CGTN俄语,http://113.81.159.164:58888/udp/239.253.43.201:5146
CGTN俄语,http://114.243.104.69:8821/rtp/239.3.1.220:4220
CGTN俄语,http://114.243.106.175:8821/rtp/239.3.1.220:4220
CGTN俄语,http://114.243.106.222:8821/rtp/239.3.1.220:4220
CGTN俄语,http://114.243.108.185:8821/rtp/239.3.1.220:4220
CGTN俄语,http://114.243.109.190:8821/rtp/239.3.1.220:4220
CGTN俄语,http://114.243.96.158:8821/rtp/239.3.1.220:4220
CGTN俄语,http://114.243.96.196:8821/rtp/239.3.1.220:4220
CGTN俄语,http://114.253.74.208:8686/rtp/239.3.1.220:4220
CGTN俄语,http://116.148.121.229:8125/rtp/233.50.201.39:5140
CGTN俄语,http://116.5.238.67:8000/udp/239.253.43.201:5146
CGTN俄语,http://117.28.177.45:8605/rtp/239.61.3.45:9788
CGTN俄语,http://120.55.49.231:3095/rtp/233.50.201.39:5140
CGTN俄语,http://120.55.49.231:34599/rtp/233.50.201.39:5140
CGTN俄语,http://120.77.205.62:8087/udp/239.253.43.201:5146
CGTN俄语,http://123.97.132.103:18888/rtp/233.50.201.39:5140
CGTN俄语,http://125.125.197.72:8881/rtp/233.50.201.39:5140
CGTN俄语,http://125.125.197.72:8889/rtp/233.50.201.39:5140
CGTN俄语,http://125.125.199.56:8889/rtp/233.50.201.39:5140
CGTN俄语,http://125.125.56.55:8889/rtp/233.50.201.39:5140
CGTN俄语,http://183.11.239.36:808/hls/85/index.m3u8
CGTN俄语,http://183.238.248.82:9000/udp/239.21.0.114:3796
CGTN俄语,http://183.238.248.84:9000/udp/239.21.0.114:3796
CGTN俄语,http://59.39.70.214:80/udp/239.253.43.201:5146
CGTN俄语,http://60.187.128.214:7777/rtp/233.50.201.39:5140
CGTN俄语,http://60.187.197.91:7777/rtp/233.50.201.39:5140
CGTN俄语,http://61.140.124.156:8888/udp/239.253.43.201:5146
CGTN俄语,http://61.140.201.112:8028/udp/239.253.43.201:5146
CGTN俄语,http://iptv.tvfix.org/hls/cgtnehd.m3u8
CGTN德语,http://110.81.150.47:4022/rtp/239.61.3.43:9776
CGTN德语,http://117.28.177.45:8605/rtp/239.61.3.43:9776
CGTN新闻,http://114.243.104.69:8821/rtp/239.3.1.215:4220
CGTN新闻,http://114.243.106.175:8821/rtp/239.3.1.215:4220
CGTN新闻,http://114.243.106.222:8821/rtp/239.3.1.215:4220
CGTN新闻,http://114.243.108.185:8821/rtp/239.3.1.215:4220
CGTN新闻,http://114.243.109.190:8821/rtp/239.3.1.215:4220
CGTN新闻,http://114.243.96.158:8821/rtp/239.3.1.215:4220
CGTN新闻,http://114.243.96.196:8821/rtp/239.3.1.215:4220
CGTN新闻,http://114.253.74.208:8686/rtp/239.3.1.215:4220
CGTN法语,http://110.81.150.47:4022/rtp/239.61.3.44:9782
CGTN法语,http://113.81.159.164:58888/udp/239.77.0.228:5146
CGTN法语,http://114.243.104.69:8821/rtp/239.3.1.218:4220
CGTN法语,http://114.243.106.175:8821/rtp/239.3.1.218:4220
CGTN法语,http://114.243.106.222:8821/rtp/239.3.1.218:4220
CGTN法语,http://114.243.108.185:8821/rtp/239.3.1.218:4220
CGTN法语,http://114.243.109.190:8821/rtp/239.3.1.218:4220
CGTN法语,http://114.243.96.158:8821/rtp/239.3.1.218:4220
CGTN法语,http://114.243.96.196:8821/rtp/239.3.1.218:4220
CGTN法语,http://114.253.74.208:8686/rtp/239.3.1.218:4220
CGTN法语,http://116.148.121.229:8125/rtp/233.50.201.37:5140
CGTN法语,http://116.5.238.67:8000/udp/239.77.0.228:5146
CGTN法语,http://117.28.177.45:8605/rtp/239.61.3.44:9782
CGTN法语,http://118.114.168.248:4455/udp/239.93.42.50:5140
CGTN法语,http://118.121.58.80:2121/udp/239.93.42.50:5140
CGTN法语,http://120.55.49.231:3095/rtp/233.50.201.37:5140
CGTN法语,http://120.55.49.231:34599/rtp/233.50.201.37:5140
CGTN法语,http://120.77.205.62:8087/udp/239.77.0.228:5146
CGTN法语,http://123.97.132.103:18888/rtp/233.50.201.37:5140
CGTN法语,http://125.125.197.72:8881/rtp/233.50.201.37:5140
CGTN法语,http://125.125.197.72:8889/rtp/233.50.201.37:5140
CGTN法语,http://125.125.199.56:8889/rtp/233.50.201.37:5140
CGTN法语,http://125.125.56.55:8889/rtp/233.50.201.37:5140
CGTN法语,http://171.217.52.64:1880/udp/239.93.42.50:5140
CGTN法语,http://171.221.223.79:4443/udp/239.93.42.50:5140
CGTN法语,http://171.223.215.229:4000/udp/239.93.42.50:5140
CGTN法语,http://183.11.239.36:808/hls/82/index.m3u8
