央视频道,#genre#
深圳卫视,http://test.tvboxosc.cyou/ipv4_live/5/深圳卫视/weishi
深圳卫视,http://test.tvboxosc.cyou/ipv4_live/6/深圳卫视/weishi
深圳卫视,http://test.tvboxosc.cyou/ipv4_live/7/深圳卫视/weishi
深圳卫视,http://test.tvboxosc.cyou/ipv4_live/8/深圳卫视/weishi

本港卫视,http://test.tvboxosc.cyou/ipv4_live/1/本港卫视/weishi
本港卫视,http://test.tvboxosc.cyou/ipv4_live/2/本港卫视/weishi
本港卫视,http://test.tvboxosc.cyou/ipv4_live/3/本港卫视/weishi
本港卫视,http://test.tvboxosc.cyou/ipv4_live/4/本港卫视/weishi
本港卫视,http://test.tvboxosc.cyou/ipv4_live/5/本港卫视/weishi
本港卫视,http://test.tvboxosc.cyou/ipv4_live/6/本港卫视/weishi
本港卫视,http://test.tvboxosc.cyou/ipv4_live/7/本港卫视/weishi
本港卫视,http://test.tvboxosc.cyou/ipv4_live/8/本港卫视/weishi

香港明珠卫视,http://test.tvboxosc.cyou/ipv4_live/1/香港明珠卫视/weishi
香港明珠卫视,http://test.tvboxosc.cyou/ipv4_live/2/香港明珠卫视/weishi
香港明珠卫视,http://test.tvboxosc.cyou/ipv4_live/3/香港明珠卫视/weishi
香港明珠卫视,http://test.tvboxosc.cyou/ipv4_live/4/香港明珠卫视/weishi
香港明珠卫视,http://test.tvboxosc.cyou/ipv4_live/5/香港明珠卫视/weishi
香港明珠卫视,http://test.tvboxosc.cyou/ipv4_live/6/香港明珠卫视/weishi
香港明珠卫视,http://test.tvboxosc.cyou/ipv4_live/7/香港明珠卫视/weishi
香港明珠卫视,http://test.tvboxosc.cyou/ipv4_live/8/香港明珠卫视/weishi

凤凰卫视中文,http://test.tvboxosc.cyou/ipv4_live/1/凤凰卫视中文/weishi
凤凰卫视中文,http://test.tvboxosc.cyou/ipv4_live/2/凤凰卫视中文/weishi
凤凰卫视中文,http://test.tvboxosc.cyou/ipv4_live/3/凤凰卫视中文/weishi
凤凰卫视中文,http://test.tvboxosc.cyou/ipv4_live/4/凤凰卫视中文/weishi
凤凰卫视中文,http://test.tvboxosc.cyou/ipv4_live/5/凤凰卫视中文/weishi
凤凰卫视中文,http://test.tvboxosc.cyou/ipv4_live/6/凤凰卫视中文/weishi
凤凰卫视中文,http://test.tvboxosc.cyou/ipv4_live/7/凤凰卫视中文/weishi
凤凰卫视中文,http://test.tvboxosc.cyou/ipv4_live/8/凤凰卫视中文/weishi

凤凰卫视资讯,http://test.tvboxosc.cyou/ipv4_live/1/凤凰卫视资讯/weishi
凤凰卫视资讯,http://test.tvboxosc.cyou/ipv4_live/2/凤凰卫视资讯/weishi
凤凰卫视资讯,http://test.tvboxosc.cyou/ipv4_live/3/凤凰卫视资讯/weishi
凤凰卫视资讯,http://test.tvboxosc.cyou/ipv4_live/4/凤凰卫视资讯/weishi
凤凰卫视资讯,http://test.tvboxosc.cyou/ipv4_live/5/凤凰卫视资讯/weishi
凤凰卫视资讯,http://test.tvboxosc.cyou/ipv4_live/6/凤凰卫视资讯/weishi
凤凰卫视资讯,http://test.tvboxosc.cyou/ipv4_live/7/凤凰卫视资讯/weishi
凤凰卫视资讯,http://test.tvboxosc.cyou/ipv4_live/8/凤凰卫视资讯/weishi

凤凰香港卫视,http://test.tvboxosc.cyou/ipv4_live/1/凤凰香港卫视/weishi
凤凰香港卫视,http://test.tvboxosc.cyou/ipv4_live/2/凤凰香港卫视/weishi
凤凰香港卫视,http://test.tvboxosc.cyou/ipv4_live/3/凤凰香港卫视/weishi
凤凰香港卫视,http://test.tvboxosc.cyou/ipv4_live/4/凤凰香港卫视/weishi
凤凰香港卫视,http://test.tvboxosc.cyou/ipv4_live/5/凤凰香港卫视/weishi
凤凰香港卫视,http://test.tvboxosc.cyou/ipv4_live/6/凤凰香港卫视/weishi
凤凰香港卫视,http://test.tvboxosc.cyou/ipv4_live/7/凤凰香港卫视/weishi
凤凰香港卫视,http://test.tvboxosc.cyou/ipv4_live/8/凤凰香港卫视/weishi

香港卫视,http://test.tvboxosc.cyou/ipv4_live/1/香港卫视/weishi
香港卫视,http://test.tvboxosc.cyou/ipv4_live/2/香港卫视/weishi
香港卫视,http://test.tvboxosc.cyou/ipv4_live/3/香港卫视/weishi
香港卫视,http://test.tvboxosc.cyou/ipv4_live/4/香港卫视/weishi
